Servicio,Proveedor,Teléfono,Email,Precio,Rating,Contratado,Fecha Contratación
"Venue","Hotel Gran Palace","+34 912 345 678","info@granpalace.com","45000.00","4.8/5","Sí","15/12/2023"
"Catering","Catering Elite","+34 913 456 789","contacto@cateringelite.com","60000.00","4.5/5","Sí","10/10/2023"
"Fotógrafo","Juan García - Fotografía","+34 622 345 678","juan@fotografia.com","15000.00","4.8/5","Sí","15/03/2024"
"Videógrafo","Pro Video Studio","+34 623 456 789","info@provideoestudio.com","8000.00","4.6/5","No",""
"DJ / Música","DJ Carlos Eventos","+34 654 567 890","carlos@djcarlos.com","5000.00","4.7/5","Sí","01/02/2024"
"Floristería","Flores y Diseño","+34 643 678 901","flores@diseño.com","8500.00","4.7/5","Sí","20/01/2024"
"Diseñador Vestido","Marcela Couture","+34 665 789 012","marcela@couture.com","18000.00","4.9/5","Sí","15/11/2023"
"Sastre","López Tailoring","+34 634 890 123","info@lopeztailoring.com","4500.00","4.6/5","Sí","10/01/2024"
"Joyería","Joyería Real","+34 645 901 234","ventas@joyeriare​al.com","8000.00","4.8/5","Sí","01/12/2023"
"Estilista","Estilista Marcela Belleza","+34 656 012 345","marcela@belleza.com","2000.00","4.9/5","Sí","20/12/2023"
"Pastelería","Pastelería Dulce","+34 667 123 456","info@pasteleriadulce.com","5000.00","4.7/5","Sí","15/01/2024"
"Imprenta","Imprenta Moderna","+34 678 234 567","ventas@imprentamoderna.com","2000.00","4.5/5","Sí","01/11/2023"
"Bebidas","Distribuidora Vinos","+34 689 345 678","contacto@distribuidoravinos.com","12000.00","4.6/5","Sí","01/02/2024"
"Transportación","Bus Tours Deluxe","+34 690 456 789","reservas@bustours.com","3500.00","4.4/5","No",""
"Coordinador","Eventos Perfectos","+34 601 567 890","info@eventosperfectos.com","6000.00","4.8/5","Sí","15/01/2024"
"Decoración","Eventos Diseño","+34 612 678 901","deco@diseño.com","4000.00","4.5/5","No",""
"Favores","Artesanía Local","+34 623 789 012","contacto@artesania.com","2500.00","4.3/5","No",""
"Regalos","Tienda Lujos Premium","+34 634 890 123","ventas@lujospremium.com","1500.00","4.7/5","Sí","10/01/2024"
"Invitación Online","Paperless Post","+1 415 555 0100","support@paperlesspost.com","1500.00","4.6/5","Sí","01/11/2023"
"Viajes","Viajes Paraíso","+34 645 901 234","reservas@viajesparaiso.com","35000.00","4.7/5","Sí","15/12/2023"
